"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"3/27/2026","3/27/2026","3/30/2026","META","Meta Platforms
CUSIP: 30303M102
Dividend Reinvestment","Buy","0.016925","$534.09","($9.04)"
"3/26/2026","3/26/2026","3/26/2026","META","Cash Div: R/D 2026-03-16 P/D 2026-03-26 - 17.21848 shares at 0.525","CDIV","","","$9.04"
"3/23/2026","3/23/2026","3/23/2026","","Gold Subscription Fee","GOLD","","","($5.00)"
"3/20/2026","3/20/2026","3/23/2026","DAL","Delta Air Lines
CUSIP: 247361702
Dividend Reinvestment","Buy","0.475138","$63.35","($30.10)"
"3/19/2026","3/19/2026","3/19/2026","DAL","Cash Div: R/D 2026-02-26 P/D 2026-03-19 - 160.532246 shares at 0.1875","CDIV","","","$30.10"
"3/17/2026","3/17/2026","3/18/2026","GOOGL","Alphabet Class A
CUSIP: 02079K305
Dividend Reinvestment","Buy","0.083515","$306.53","($25.60)"
"3/16/2026","3/16/2026","3/16/2026","GOOGL","Cash Div: R/D 2026-03-09 P/D 2026-03-16 - 121.909859 shares at 0.21","CDIV","","","$25.60"
"3/13/2026","3/13/2026","3/16/2026","MSFT","Microsoft
CUSIP: 594918104
Dividend Reinvestment","Buy","0.048302","$402.67","($19.45)"
"3/12/2026","3/12/2026","3/12/2026","MSFT","Cash Div: R/D 2026-02-19 P/D 2026-03-12 - 21.372684 shares at 0.91","CDIV","","","$19.45"
"3/9/2026","3/9/2026","3/10/2026","DIS","Disney
CUSIP: 254687106","Buy","0.09693","$99.04","($9.60)"
"3/9/2026","3/9/2026","3/10/2026","DIS","Disney
CUSIP: 254687106","Buy","10","$99.04","($990.40)"
"3/9/2026","3/9/2026","3/10/2026","DAL","Delta Air Lines
CUSIP: 247361702","Buy","17.830079","$56.08","($1,000.00)"
"3/6/2026","3/6/2026","3/6/2026","NOK","Stock Lending","SLIP","","","$0.01"
"3/6/2026","3/6/2026","3/6/2026","SPCE","Stock Lending","SLIP","","","$1.56"
"3/6/2026","3/6/2026","3/6/2026","USO","Stock Lending","SLIP","","","$0.09"
"3/6/2026","3/6/2026","3/6/2026","VFF","Stock Lending","SLIP","","","$0.01"
"3/6/2026","3/6/2026","3/6/2026","FAST","Stock Lending","SLIP","","","$0.01"
"3/6/2026","3/6/2026","3/6/2026","ARKK","Stock Lending","SLIP","","","$0.01"
"3/6/2026","3/6/2026","3/6/2026","BYDDY","Stock Lending","SLIP","","","$0.01"
"3/6/2026","3/6/2026","3/6/2026","CHPT","Stock Lending","SLIP","","","$0.40"
"3/6/2026","3/6/2026","3/6/2026","ARKX","Stock Lending","SLIP","","","$0.01"
"3/2/2026","3/2/2026","3/2/2026","","Gold Deposit Boost Payment","GDBP","","","$7.07"
"2/27/2026","2/27/2026","2/27/2026","","Brokerage-held Cash Interest Payment","INT","","","$9.90"
"2/27/2026","2/27/2026","2/27/2026","","Interest Payment","INT","","","$65.53"
"2/27/2026","2/27/2026","3/2/2026","FAST","Fastenal
CUSIP: 311900104
Dividend Reinvestment","Buy","0.049661","$45.51","($2.26)"
"2/26/2026","2/26/2026","2/26/2026","FAST","Cash Div: R/D 2026-01-29 P/D 2026-02-26 - 9.404589 shares at 0.24","CDIV","","","$2.26"
"2/19/2026","2/19/2026","2/20/2026","NOK","Nokia
CUSIP: 654902204
Dividend Reinvestment","Buy","0.485943","$7.47","($3.63)"
"2/19/2026","2/19/2026","2/19/2026","","Gold Subscription Fee","GOLD","","","($5.00)"
"2/18/2026","2/18/2026","2/18/2026","NOK","Cash Div: R/D 2026-02-03 P/D 2026-02-18 - 167.451086 shares at 0.035642","CDIV","","","$5.97"
"2/18/2026","2/18/2026","2/18/2026","NOK","Sponsored ADR: Agency Processing Fee at $0.25","DFEE","","","($0.25)"
"2/18/2026","2/18/2026","2/18/2026","NOK","Foreign Tax Witholding at $2.09","DTAX","","","($2.09)"
"2/17/2026","2/17/2026","2/18/2026","GEHC","GE HealthCare
CUSIP: 36266G107
Dividend Reinvestment","Buy","0.005868","$81.80","($0.48)"
"2/13/2026","2/13/2026","2/13/2026","GEHC","Cash Div: R/D 2026-01-09 P/D 2026-02-13 - 13.643291 shares at 0.035","CDIV","","","$0.48"
"2/13/2026","2/13/2026","2/17/2026","AAPL","Apple
CUSIP: 037833100
Dividend Reinvestment","Buy","0.052842","$259.45","($13.71)"
"2/12/2026","2/12/2026","2/12/2026","AAPL","Cash Div: R/D 2026-02-09 P/D 2026-02-12 - 52.742405 shares at 0.26","CDIV","","","$13.71"
"2/6/2026","2/6/2026","2/6/2026","SPCE","Stock Lending","SLIP","","","$6.76"
"2/6/2026","2/6/2026","2/6/2026","VFF","Stock Lending","SLIP","","","$0.01"
"2/6/2026","2/6/2026","2/6/2026","NOK","Stock Lending","SLIP","","","$0.01"
"2/6/2026","2/6/2026","2/6/2026","USO","Stock Lending","SLIP","","","$0.04"
"2/6/2026","2/6/2026","2/6/2026","FAST","Stock Lending","SLIP","","","$0.01"
"2/6/2026","2/6/2026","2/6/2026","ICAGY","Stock Lending","SLIP","","","$0.01"
"2/6/2026","2/6/2026","2/6/2026","CHPT","Stock Lending","SLIP","","","$0.73"
"2/6/2026","2/6/2026","2/6/2026","ARKX","Stock Lending","SLIP","","","$0.01"
"2/6/2026","2/6/2026","2/6/2026","ARKK","Stock Lending","SLIP","","","$0.01"
